type_value,total_count,pct_of_typed,cumulative_pct,provinces,currently_mapped_to,proposed_category,proposed_murb_positive
Grandstand / Stadium,20,0.0009,99.8769,BC,UNMAPPED -> dropped,,False
Historic Sites,19,0.0009,99.8778,ON,UNMAPPED -> dropped,,False
Service consulaire,19,0.0009,99.8787,QC,UNMAPPED -> dropped,commercial,False
Adu,19,0.0009,99.8796,ON,UNMAPPED -> dropped,,False
G,19,0.0009,99.8805,ON,UNMAPPED -> dropped,,False
High School,19,0.0009,99.8814,ON,UNMAPPED -> dropped,institutional,False
University,19,0.0009,99.8823,ON,UNMAPPED -> dropped,institutional,False
Broiler,18,0.0008,99.8831,ON,UNMAPPED -> dropped,,False
Park: Municipal,18,0.0008,99.8839,ON,UNMAPPED -> dropped,institutional,False
Private School,18,0.0008,99.8847,NS;ON,UNMAPPED -> dropped,institutional,False
Community Pharmacy,18,0.0008,99.8855,NB,UNMAPPED -> dropped,,False
Art Gallery,18,0.0008,99.8863,NS;ON,UNMAPPED -> dropped,,False
Emergency Services,17,0.0008,99.8871,ON,UNMAPPED -> dropped,commercial,False
Department of Community Services Office,17,0.0008,99.8879,NS,UNMAPPED -> dropped,commercial,False
Salle de spectacle,17,0.0008,99.8887,QC,UNMAPPED -> dropped,,False
Mixed Use - Residential with Visitor Accommodation,16,0.0008,99.8895,AB,UNMAPPED -> dropped,mixed_use,False
Dining,16,0.0008,99.8903,ON,UNMAPPED -> dropped,,False
Quarry,16,0.0008,99.8911,NB,UNMAPPED -> dropped,,False
Pool,16,0.0008,99.8919,BC;NB;NS;ON,UNMAPPED -> dropped,other,False
Private Elementary School,16,0.0008,99.8927,ON,UNMAPPED -> dropped,institutional,False
Federal Government,16,0.0008,99.8935,NB,UNMAPPED -> dropped,institutional,False
Coverall,15,0.0007,99.8942,ON,UNMAPPED -> dropped,,False
RCMP STATION,15,0.0007,99.8949,NS,UNMAPPED -> dropped,,False
Long Term Care,15,0.0007,99.8956,ON,UNMAPPED -> dropped,,False
Centre d'exposition,15,0.0007,99.8963,QC,UNMAPPED -> dropped,,False
Attraction,15,0.0007,99.897,BC,UNMAPPED -> dropped,,False
Low Rise Apartment,15,0.0007,99.8977,BC;ON,apartment,apartment,True
Train Station,14,0.0007,99.8984,BC;ON,UNMAPPED -> dropped,,False
Cafe / Restaurant,14,0.0007,99.8991,AB;ON,UNMAPPED -> dropped,commercial,False
Financial Institution,14,0.0007,99.8998,NB,UNMAPPED -> dropped,institutional,False
Public Washroom: Seasonal,14,0.0007,99.9005,ON,UNMAPPED -> dropped,institutional,False
EMS Station,14,0.0007,99.9012,ON,UNMAPPED -> dropped,,False
Mining Facility,14,0.0007,99.9019,NS,UNMAPPED -> dropped,,False
Bar / Restaurant / Performance,14,0.0007,99.9026,ON,UNMAPPED -> dropped,commercial,False
Seasonal Washroom,14,0.0007,99.9033,SK,UNMAPPED -> dropped,other,False
General Hotel,14,0.0007,99.904,ON,UNMAPPED -> dropped,commercial,False
Pavilion,14,0.0007,99.9047,ON,UNMAPPED -> dropped,,False
Community Hall/Centre,13,0.0006,99.9053,BC,UNMAPPED -> dropped,,False
Warehourse (Retail / Wholesale),13,0.0006,99.9059,ON,UNMAPPED -> dropped,commercial,False
Nursing Home / Long Term Care,13,0.0006,99.9065,ON,UNMAPPED -> dropped,,False
Fire Services,13,0.0006,99.9071,ON,UNMAPPED -> dropped,commercial,False
Power Plant,13,0.0006,99.9077,NS,UNMAPPED -> dropped,,False
Maintenance Yard,13,0.0006,99.9083,ON,UNMAPPED -> dropped,,False
Stadium,13,0.0006,99.9089,AB;BC,UNMAPPED -> dropped,,False
Police,13,0.0006,99.9095,AB;BC;NB;ON,UNMAPPED -> dropped,institutional,False
Attached Garage,13,0.0006,99.9101,ON,UNMAPPED -> dropped,other,False
Cafe / Restaurant / Bar,13,0.0006,99.9107,BC,UNMAPPED -> dropped,commercial,False
Special Care Home,12,0.0006,99.9113,NB,UNMAPPED -> dropped,,False
Water Supply and Treatment,12,0.0006,99.9119,NB,UNMAPPED -> dropped,,False
Paramedic Base,12,0.0006,99.9125,NS,UNMAPPED -> dropped,,False
Gallery,12,0.0006,99.9131,BC,UNMAPPED -> dropped,,False
"Fitness/Recreation, Community Centres",12,0.0006,99.9137,ON,UNMAPPED -> dropped,institutional,False
Post Secondary Institution,12,0.0006,99.9143,ON,UNMAPPED -> dropped,institutional,False
Parks Canada offices//Bureaux de Parcs Canada,12,0.0006,99.9149,AB;BC;NS;ON;QC,UNMAPPED -> dropped,commercial,False
Private Franchise Utilities,12,0.0006,99.9155,AB,UNMAPPED -> dropped,,False
Operations,12,0.0006,99.9161,BC;ON,UNMAPPED -> dropped,,False
Correctional Facility,12,0.0006,99.9167,BC;NS;ON,UNMAPPED -> dropped,,False
Public Elementary (French),12,0.0006,99.9173,ON,UNMAPPED -> dropped,institutional,False
Event Centre,12,0.0006,99.9179,NS,UNMAPPED -> dropped,,False
Well Pump House,12,0.0006,99.9185,ON,UNMAPPED -> dropped,residential_single,False
Apartments-Elevators - R5,12,0.0006,99.9191,AB,UNMAPPED -> dropped,apartment,True
Seniors Residence,12,0.0006,99.9197,ON,UNMAPPED -> dropped,residential,False
Railyard,12,0.0006,99.9203,NB,UNMAPPED -> dropped,,False
Childcare / Daycare Facility,11,0.0005,99.9208,ON,UNMAPPED -> dropped,,False
Emergency Response / Law Enforcement,11,0.0005,99.9213,ON,UNMAPPED -> dropped,,False
Homeless Shelter,11,0.0005,99.9218,NS;ON,UNMAPPED -> dropped,,False
Historic Sites / Government,11,0.0005,99.9223,ON,UNMAPPED -> dropped,institutional,False
Courthouse,11,0.0005,99.9228,NB;NS;ON,UNMAPPED -> dropped,,False
College,11,0.0005,99.9233,NB;ON,UNMAPPED -> dropped,institutional,False
Lighthouse,11,0.0005,99.9238,NB;NS,UNMAPPED -> dropped,,False
Zoo,11,0.0005,99.9243,NB;ON,UNMAPPED -> dropped,,False
Édifice administratif,11,0.0005,99.9248,QC,UNMAPPED -> dropped,,False
Other School,11,0.0005,99.9253,SK,UNMAPPED -> dropped,institutional,False
Prison / Correctional Facility,11,0.0005,99.9258,ON,UNMAPPED -> dropped,,False
Ferry Terminal,11,0.0005,99.9263,NS,UNMAPPED -> dropped,,False
Multi-Use (Commercial / Low Rise Residential),11,0.0005,99.9268,BC,UNMAPPED -> dropped,commercial,False
Golf Course Facility,11,0.0005,99.9273,ON,UNMAPPED -> dropped,,False
Inn,11,0.0005,99.9278,ON,UNMAPPED -> dropped,,False
Womens Prison,11,0.0005,99.9283,NS,UNMAPPED -> dropped,,False
Water Pumping Station,10,0.0005,99.9288,ON,UNMAPPED -> dropped,,False
Picnic Area,10,0.0005,99.9293,ON,UNMAPPED -> dropped,,False
Pharmacy,10,0.0005,99.9298,NB;NS;ON,UNMAPPED -> dropped,,False
Arts,10,0.0005,99.9303,AB;BC;ON,UNMAPPED -> dropped,,False
Ambulance Facility,10,0.0005,99.9308,ON,UNMAPPED -> dropped,institutional,False
Clinique,10,0.0005,99.9313,QC,UNMAPPED -> dropped,,False
Communication Tower,10,0.0005,99.9318,ON,UNMAPPED -> dropped,,False
Section 23 Program,10,0.0005,99.9323,ON,UNMAPPED -> dropped,,False
Catholic School,10,0.0005,99.9328,ON,UNMAPPED -> dropped,institutional,False
Public Water Supply Well,10,0.0005,99.9333,ON,UNMAPPED -> dropped,institutional,False
Car Dealership,10,0.0005,99.9338,NS,UNMAPPED -> dropped,,False
Berge,10,0.0005,99.9343,QC,UNMAPPED -> dropped,,False
Family Health Teams,9,0.0004,99.9347,ON,UNMAPPED -> dropped,,False
Federal Facility,9,0.0004,99.9351,ON,UNMAPPED -> dropped,,False
CHRC,9,0.0004,99.9355,NT,UNMAPPED -> dropped,,False
Booster Station,9,0.0004,99.9359,BC,UNMAPPED -> dropped,,False
Apartment (Low Rise),9,0.0004,99.9363,BC,UNMAPPED -> dropped,apartment,True
Swimming Pool,9,0.0004,99.9367,BC,UNMAPPED -> dropped,other,False
Emergency Medical Services,9,0.0004,99.9371,ON,UNMAPPED -> dropped,commercial,False
Auberge de jeunesse,9,0.0004,99.9375,QC,UNMAPPED -> dropped,,False
RCMP,9,0.0004,99.9379,BC,UNMAPPED -> dropped,,False
Walk-In Clinic,9,0.0004,99.9383,BC;ON,UNMAPPED -> dropped,,False
Garden Suite,9,0.0004,99.9387,ON,UNMAPPED -> dropped,,False
Public (school closed),8,0.0004,99.9391,ON,UNMAPPED -> dropped,institutional,False
Petroleum / Oil / Lubricants Storage Tank,8,0.0004,99.9395,ON,UNMAPPED -> dropped,other,False
Outdoor Storage Yard,8,0.0004,99.9399,AB,UNMAPPED -> dropped,other,False
Supervised,8,0.0004,99.9403,NS,UNMAPPED -> dropped,,False
Bureau Accès Montréal et bureaux municipaux,8,0.0004,99.9407,QC,UNMAPPED -> dropped,commercial,False
Historic Site / Point of Interest,8,0.0004,99.9411,ON,UNMAPPED -> dropped,,False
Government Centre,8,0.0004,99.9415,ON,UNMAPPED -> dropped,institutional,False
Studio,8,0.0004,99.9419,BC,UNMAPPED -> dropped,,False
Cinéma,8,0.0004,99.9423,QC,UNMAPPED -> dropped,,False
Recreation Complex,8,0.0004,99.9427,AB,UNMAPPED -> dropped,institutional,False
Seniors Centre,8,0.0004,99.9431,AB;BC;ON,UNMAPPED -> dropped,,False
Adult Learning,8,0.0004,99.9435,ON,UNMAPPED -> dropped,,False
Water Tower,7,0.0003,99.9438,AB;NS;ON,UNMAPPED -> dropped,,False
Public Washroom,7,0.0003,99.9441,AB;NS;ON,UNMAPPED -> dropped,institutional,False
Place of Worship / Performance,7,0.0003,99.9444,ON,UNMAPPED -> dropped,institutional,False
Place of Worship / Historic Sites,7,0.0003,99.9447,ON,UNMAPPED -> dropped,institutional,False
Municipal Office,7,0.0003,99.945,ON,UNMAPPED -> dropped,institutional,False
Municipal Administration,7,0.0003,99.9453,ON,UNMAPPED -> dropped,institutional,False
General Recreation Facility,7,0.0003,99.9456,NB,UNMAPPED -> dropped,institutional,False
Education / Performance,7,0.0003,99.9459,ON,UNMAPPED -> dropped,,False
Medical Clinic,7,0.0003,99.9462,NS,UNMAPPED -> dropped,,False
Storage Shed,7,0.0003,99.9465,BC,UNMAPPED -> dropped,other,False
Recreational Other,7,0.0003,99.9468,AB,UNMAPPED -> dropped,institutional,False
Amusement / Water Park,7,0.0003,99.9471,ON,UNMAPPED -> dropped,other,False
