type_value,total_count,n_provinces,provinces,pct_of_typed,cumulative_pct,top_province,currently_mapped_to,currently_murb_evidence,decision_category,decision_is_murb_evidence,reviewer_notes
Ski,100,1,BC,0.0047,99.5635,BC,UNMAPPED -> dropped,no,,,
Sixplex,100,1,ON,0.0047,99.5682,ON,UNMAPPED -> dropped,no,,,
High-rise Residential,98,1,ON,0.0046,99.5728,ON,UNMAPPED -> dropped,no,,,
Église,98,1,QC,0.0046,99.5774,QC,UNMAPPED -> dropped,no,,,
Residential-High Rise,97,1,BC,0.0046,99.582,BC,UNMAPPED -> dropped,no,,,
Medical,97,2,BC;ON,0.0046,99.5866,ON,UNMAPPED -> dropped,no,,,
Mixed Office / Light Employment,96,1,ON,0.0045,99.5911,ON,UNMAPPED -> dropped,no,,,
Lift Station,95,2,BC;NB,0.0045,99.5956,BC,UNMAPPED -> dropped,no,,,
Nursing Home,95,4,AB;NB;NS;ON,0.0045,99.6001,NS,UNMAPPED -> dropped,no,,,
Serre,92,1,QC,0.0043,99.6044,QC,UNMAPPED -> dropped,no,,,
Hôtel,88,1,QC,0.0041,99.6085,QC,UNMAPPED -> dropped,no,,,
Arena,87,5,AB;BC;NB;ON;SK,0.0041,99.6126,ON,UNMAPPED -> dropped,no,,,
Marina,84,1,ON,0.0039,99.6165,ON,UNMAPPED -> dropped,no,,,
Livestock Shelter,83,1,AB,0.0039,99.6204,AB,UNMAPPED -> dropped,no,,,
Retirement Home,83,1,ON,0.0039,99.6243,ON,UNMAPPED -> dropped,no,,,
Baseball Facility,82,1,ON,0.0038,99.6281,ON,UNMAPPED -> dropped,no,,,
Grain Elevator,81,6,AB;BC;MB;ON;QC;SK,0.0038,99.6319,MB,UNMAPPED -> dropped,no,,,
Religious Structure,81,1,NB,0.0038,99.6357,NB,UNMAPPED -> dropped,no,,,
Seniors Residential Complex,81,1,NS,0.0038,99.6395,NS,UNMAPPED -> dropped,no,,,
Airport Facility,80,2,NB;ON,0.0038,99.6433,NB,UNMAPPED -> dropped,no,,,
High Rise Apartment,79,2,BC;ON,0.0037,99.647,ON,apartment,yes,,,
Chalet,78,1,QC,0.0037,99.6507,QC,UNMAPPED -> dropped,no,,,
Lakeshore Residential Building,76,1,ON,0.0036,99.6543,ON,UNMAPPED -> dropped,no,,,
Recreational,76,1,ON,0.0036,99.6579,ON,UNMAPPED -> dropped,no,,,
Community,75,3,AB;BC;ON,0.0035,99.6614,ON,UNMAPPED -> dropped,no,,,
Fiveplex,73,1,ON,0.0034,99.6648,ON,UNMAPPED -> dropped,no,,,
Museum / Gallery,73,2,BC;ON,0.0034,99.6682,BC,UNMAPPED -> dropped,no,,,
Pump Station,71,1,NS,0.0033,99.6715,NS,UNMAPPED -> dropped,no,,,
Commercial Storage,71,1,NS,0.0033,99.6748,NS,UNMAPPED -> dropped,no,,,
Industriel,71,1,QC,0.0033,99.6781,QC,UNMAPPED -> dropped,no,,,
Bank,70,3,NB;NS;ON,0.0033,99.6814,NS,UNMAPPED -> dropped,no,,,
Agriculture Facility,69,1,NS,0.0032,99.6846,NS,UNMAPPED -> dropped,no,,,
Railroad Facility,68,1,ON,0.0032,99.6878,ON,UNMAPPED -> dropped,no,,,
Pit/Quarry,67,1,ON,0.0031,99.6909,ON,UNMAPPED -> dropped,no,,,
Fire Hall,65,4,AB;BC;NS;ON,0.0031,99.694,BC,UNMAPPED -> dropped,no,,,
Grocery Store,64,2,NB;ON,0.003,99.697,NB,UNMAPPED -> dropped,no,,,
Shopping Mall / Complex,63,2,NB;ON,0.003,99.7,ON,UNMAPPED -> dropped,no,,,
Station de métro,63,1,QC,0.003,99.703,QC,UNMAPPED -> dropped,no,,,
Industrial/General,62,1,AB,0.0029,99.7059,AB,UNMAPPED -> dropped,no,,,
Bâtiment historique / patrimonial,61,1,QC,0.0029,99.7088,QC,UNMAPPED -> dropped,no,,,
Piscine publique,61,1,QC,0.0029,99.7117,QC,UNMAPPED -> dropped,no,,,
