type_value,total_count,n_provinces,provinces,pct_of_typed,cumulative_pct,top_province,currently_mapped_to,currently_murb_evidence,decision_category,decision_is_murb_evidence,reviewer_notes
Museum Antique Gallery,1,1,AB,0.0,99.9868,AB,UNMAPPED -> dropped,no,,,
Musée municipal,1,1,QC,0.0,99.9868,QC,UNMAPPED -> dropped,no,,,
NPP,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Observatory,1,1,AB,0.0,99.9868,AB,UNMAPPED -> dropped,no,,,
Government / Community Centre / Education / Event / Historic Sites,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Government Heritage Building,1,1,BC,0.0,99.9868,BC,UNMAPPED -> dropped,no,,,
Lodging,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Mail Service,1,1,NB,0.0,99.9868,NB,UNMAPPED -> dropped,no,,,
Maintenance,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Ski Area / Ski Resort,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Special Purpose Home,1,1,NB,0.0,99.9868,NB,UNMAPPED -> dropped,no,,,
Children and Youth Mental Health,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Church: Cathedral,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
City Hall,1,1,BC,0.0,99.9868,BC,UNMAPPED -> dropped,no,,,
Mini storage warehouse,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Health Clinic,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Municipal Wastewater Treatment Plant,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Museum / Education / Event / Performance,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Museum / Historic Sites / Places of Worship / Performance,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Grocery Store / Complex,1,1,NB,0.0,99.9868,NB,UNMAPPED -> dropped,no,,,
HRP HEADQUARTERS,1,1,NS,0.0,99.9868,NS,UNMAPPED -> dropped,no,,,
Clinic,1,1,AB,0.0,99.9868,AB,UNMAPPED -> dropped,no,,,
Stage,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Steel Plant,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Storage / Warehouse,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Storage Facility,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Canadian Redcross,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Cannabis Store,1,1,NB,0.0,99.9868,NB,UNMAPPED -> dropped,no,,,
Canteen,1,1,NS,0.0,99.9868,NS,UNMAPPED -> dropped,no,,,
Car Wash,1,1,NS,0.0,99.9868,NS,UNMAPPED -> dropped,no,,,
Care Facility,1,1,AB,0.0,99.9868,AB,UNMAPPED -> dropped,no,,,
Temple,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Tennis Club,1,1,NS,0.0,99.9868,NS,UNMAPPED -> dropped,no,,,
Tennis Courts,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Tertiary Tanker Base,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Toll Booth / Plaza,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Tourist Centre,1,1,AB,0.0,99.9868,AB,UNMAPPED -> dropped,no,,,
Tourist Information,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Tower,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Town Hall,1,1,NS,0.0,99.9868,NS,UNMAPPED -> dropped,no,,,
Train/Bus Station,1,1,NB,0.0,99.9868,NB,UNMAPPED -> dropped,no,,,
Multi Human Services Facility,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Multi Recreation Facility,1,1,AB,0.0,99.9868,AB,UNMAPPED -> dropped,no,,,
Multi-Use (Commercial / Mid Rise Residential),1,1,BC,0.0,99.9868,BC,UNMAPPED -> dropped,no,,,
Multi-Use (Commercial / Townhouse Residential),1,1,BC,0.0,99.9868,BC,UNMAPPED -> dropped,no,,,
Historical Building,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Historical Sites,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Horse facility//Installation pour cheval,1,1,AB,0.0,99.9868,AB,UNMAPPED -> dropped,no,,,
Hospice Care Facility,1,1,NB,0.0,99.9868,NB,UNMAPPED -> dropped,no,,,
Hospital//Hôpital,1,1,AB,0.0,99.9868,AB,UNMAPPED -> dropped,no,,,
Hospital/Health Centre,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Training Facility,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Transit Centre (Park & Ride),1,1,AB,0.0,99.9868,AB,UNMAPPED -> dropped,no,,,
CMHA AND BANK,1,1,NS,0.0,99.9868,NS,UNMAPPED -> dropped,no,,,
COMMONWORKS OFFICE BUILDING,1,1,NS,0.0,99.9868,NS,UNMAPPED -> dropped,no,,,
Cafe / Bakery / Restaurant,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Cafe / Bar / Performance,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Cafe / Creation,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Cafe / Performance,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Cafe / Visual Art / Retail,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Air Force Club,1,1,NS,0.0,99.9868,NS,UNMAPPED -> dropped,no,,,
Air Traffic Control Centre,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Veneer,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Veterinary Facility,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Visitor centre//Centre des visiteurs,1,1,AB,0.0,99.9868,AB,UNMAPPED -> dropped,no,,,
WELL HOUSE,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
WPP,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Waldorf School,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Warehouse (Retail / Wholesale),1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Health Services,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Heritage House,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Airport Terminal,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Ambulance Service,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Bus Services - Operations Garages,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Bus Station,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Water Tank,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Water Treatment Facility,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Water Treatment Plant,1,1,NS,0.0,99.9868,NS,UNMAPPED -> dropped,no,,,
Waterworks,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
v,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Library / Education,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Agricole,1,1,QC,0.0,99.9868,QC,UNMAPPED -> dropped,no,,,
Banking and Finance Facility,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
Agence internationale,1,1,QC,0.0,99.9868,QC,UNMAPPED -> dropped,no,,,
117,1,1,ON,0.0,99.9868,ON,UNMAPPED -> dropped,no,,,
